"BehaviorSpace results (NetLogo 6.1.0)"
"Sugarscape Pension Law.nlogo"
"pensionsExperiments"
"08/12/2019 15:23:25:918 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","minimum-sugar-endowment","maximum-sugar-endowment","visualization","random-initial-age","resources-occupation","social-services","productivity-decay","initial-population","retirement-age","pension-taxes","fixed-fee","[step]","precision piggy-bank 2","precision  (   accumulated-gdp / ( ticks + 1) )  2","precision  ( (gini-index-reserve / count turtles) * 2)  2","died-working-turtles","died-retired-turtles","(died-retired-turtles + died-working-turtles)"
"191","5","25","no-visualization","true","true","false","false","400","65","0","1","1000","196751","865.56","0.55","5492","0","5492"
"192","5","25","no-visualization","true","true","false","false","400","65","0","1","1000","194563","864.44","0.55","5185","0","5185"
"193","5","25","no-visualization","true","true","false","false","400","65","0","1","1000","194045","864.4","0.53","5411","0","5411"
"194","5","25","no-visualization","true","true","false","false","400","65","0","1","1000","196824","869.28","0.53","5467","0","5467"
"195","5","25","no-visualization","true","true","false","false","400","65","0","1","1000","193941","866.95","0.55","5513","0","5513"
"197","5","25","no-visualization","true","true","false","false","400","65","0","1","1000","190515","862.74","0.55","5178","0","5178"
"198","5","25","no-visualization","true","true","false","false","400","65","0","1","1000","193780","865.32","0.55","5354","0","5354"
"196","5","25","no-visualization","true","true","false","false","400","65","0","1","1000","190605","864.96","0.56","5288","0","5288"
"199","5","25","no-visualization","true","true","false","false","400","65","0","1","1000","190300","861.82","0.55","5448","0","5448"
"200","5","25","no-visualization","true","true","false","false","400","65","0","1","1000","189929","864.57","0.56","5224","0","5224"
"201","5","25","no-visualization","true","true","false","false","400","65","4.7","0","1000","0.94","878.14","0.45","4194","528","4722"
"202","5","25","no-visualization","true","true","false","false","400","65","4.7","0","1000","0.04","879.82","0.45","4294","581","4875"
"203","5","25","no-visualization","true","true","false","false","400","65","4.7","0","1000","2.26","879.23","0.47","4271","555","4826"
"204","5","25","no-visualization","true","true","false","false","400","65","4.7","0","1000","2.31","878.38","0.46","4206","618","4824"
"205","5","25","no-visualization","true","true","false","false","400","65","4.7","0","1000","1.15","876.66","0.45","4227","591","4818"
"206","5","25","no-visualization","true","true","false","false","400","65","4.7","0","1000","1.24","877.57","0.46","4337","555","4892"
"207","5","25","no-visualization","true","true","false","false","400","65","4.7","0","1000","1.84","880.07","0.46","4338","561","4899"
"208","5","25","no-visualization","true","true","false","false","400","65","4.7","0","1000","1.62","879.73","0.45","4234","624","4858"
"209","5","25","no-visualization","true","true","false","false","400","65","4.7","0","1000","2.5","876.71","0.46","4320","587","4907"
"210","5","25","no-visualization","true","true","false","false","400","65","4.7","0","1000","0.99","878.06","0.45","4248","568","4816"
"211","5","25","no-visualization","true","true","false","false","400","65","4.7","0.1","1000","21.41","873.11","0.45","4710","198","4908"
"212","5","25","no-visualization","true","true","false","false","400","65","4.7","0.1","1000","4.63","873.77","0.45","4668","240","4908"
"213","5","25","no-visualization","true","true","false","false","400","65","4.7","0.1","1000","1.16","872.87","0.46","4699","211","4910"
"214","5","25","no-visualization","true","true","false","false","400","65","4.7","0.1","1000","2.58","876.55","0.45","4864","213","5077"
"215","5","25","no-visualization","true","true","false","false","400","65","4.7","0.1","1000","5.74","873.71","0.45","4661","218","4879"
"216","5","25","no-visualization","true","true","false","false","400","65","4.7","0.1","1000","1.12","876.02","0.45","4643","177","4820"
"217","5","25","no-visualization","true","true","false","false","400","65","4.7","0.1","1000","3.7","875.46","0.44","4693","231","4924"
"219","5","25","no-visualization","true","true","false","false","400","65","4.7","0.1","1000","0.36","872.34","0.44","4700","245","4945"
"218","5","25","no-visualization","true","true","false","false","400","65","4.7","0.1","1000","0.97","876.32","0.45","4712","224","4936"
"220","5","25","no-visualization","true","true","false","false","400","65","4.7","0.1","1000","4.55","874.06","0.46","4687","180","4867"
